drama_id,drama_name,drama_cover_url,drama_desc,drama_tags,talent_name,category_name,video_num,last_num_position
1,重启2048，开局囤亿万物资,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649424989040642_new_17308143563423262.jpg, 2048 年，陨石携太空病毒坠落。三年后，吕林找寻物质时陷入危机。女友被黑帮老大凌辱，他却开心笑起还与美女斗地主。黑帮老大欲用大锤砸女友，手下因女貌美劝留一命。在这充满危机的世界，吕林的行为令人费解。他为何如此？女友命运又将如何？紧张局势下，一场惊心动魄的故事即将展开，充满悬念与未知。,"2048年,危机世界,行为费解,女友命运",,,100,100.0
2,难哄$千金别惹火,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-08/768x1536_output_video_1853642772401537025_17310667684544911.jpg, 女人为男友庆生却发现他背叛，心如死灰去水吧买醉。在意识不清时竟碰到意外。次日醒来，看清身边人后大吃一惊。命运的转折让她陷入尴尬与迷茫。这段意外的邂逅会带来怎样的故事？女人又将如何面对这复杂的局面？在情感的漩涡中，她的未来充满未知，一场关于爱与抉择的短剧即将拉开帷幕。,"背叛,意外邂逅,情感抉择",,,99,99.0
3,弑神殿之天地共主,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-08/768x1536_output_video_1853642799953920002_17310249585823402.jpg, 赤胆忠心的霍铮一生都在为国征战，国主却听信小人谗言，派人除掉霍铮。身负重伤失去记忆的他功力被封印，沦落为外卖员，儿子大病拖垮了他，无意间更是发现了老婆出轨，甚至养育多年的儿子也非亲生。万念俱灰的霍铮本已放弃了生的希望，一场车祸不但让他恢复了记忆与功力，还碰见了多年前一见钟情的女人，他会夺回曾经失去的一切，携两大至宝和幕后隐藏的黑手抗衡。,"战神失忆,外卖员,老婆出轨,夺回一切",,,97,97.0
4,念念&念念不相忘,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649442550591490_new_17308143141110222.jpg, 五年之前，沈嘉悦一向深爱的老公顾淮之公司面对破产，而此时却出现了一位名叫司夜的神秘人，他可以赞助沈嘉悦实现欲望，于是沈嘉悦便用五年的寿命换了顾淮之的公司起逝世复生，但假如五年之内他没有爱上本身，那沈嘉悦便会逝世，可今天已经到了五年的最后一天，而顾淮之对本身和女儿照样漠不关怀的立场，司夜准时来收走沈嘉悦的寿命，面对着年幼的女儿，沈嘉悦只能忍痛骗她闭上眼睛，留下一封信后就独自赴逝世…..,"虐恋,爱情交易,寿命换公司,冷漠丈夫",,,95,95.0
5,热血女侠,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649408975187969_new_17308128376392608.jpg," 在三十里外的海岛上，有一个神秘园区，许多女人生活在那里，外界称之为女儿国”。东南亚头号罪犯陆豪失踪三年后，有人在那里看到了他。
为调查这件事，少女警花沈青炎卧底来到园区，她妄图凭借着自己超强的武力值扫除园区内一个个恶霸势力团体，成为整个园区的“主人”，然而计划刚开始似乎就遇上了困难?少女神秘失踪案背后到底隐藏了什么阴谋?这个园区似乎远没有想象中那么简单……","警花卧底,女儿国,神秘园区,罪犯失踪",,,78,78.0
6,彩票中了十亿老婆要和我离婚,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649476952272897_new_1730815391363844.jpg, 《彩票中了十亿老婆要和我离婚》是一部网络短剧，讲述了隐身神豪何西的故事。何西是一位愿意在家做饭服侍老婆的男士，但他也难以抵挡彩票的魅力。一天，他意外中了10亿彩票大奖，这笔意外之财却让他的生活陷入了混乱。他的妻子对他的买彩票行为表示不满，质疑他是否真的会中奖。随着剧情发展，何西和妻子之间的矛盾逐渐显现，他们的婚姻也因此面临考验。这部剧以其独特的题材和紧张的剧情吸引了观众的注意，展现了当巨额财富突然降临时，对个人生活和家庭关系的影响。,"神豪,婚姻危机,中彩票",,,100,100.0
7,这么近，那么远,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649402008449026_new_17308137406454563.jpg, 作为华夏第一首富继承人的姐姐夏颜与芊芊在幼年被人追杀失散。多年过去，长大成人的姐姐从未放弃寻找妹妹的线索。终于，在海城找到了妹妹的下落。可是在寻找妹妹的过程中，竟然有人斗胆冒充，还差点上位！原来当年妹妹竟然已经......,"首富姐姐,姐妹失散,冒名顶替",,,37,37.0
8,重生八零之女儿帮我挑老公,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649420392083457_new_17308149648915796.jpg, 南初的女儿不幸离世，女人悲伤过度竟不测穿越到了80年代，竟惊喜的发明原主的孩子跟本身在现代的孩子长得一模一样，她冲动的上前抱住了掉而复得的女儿，然而孩子看到她就害怕得瑟瑟颤抖，只因原主以前对孩子非打即骂，于是女人平复了本身冲动的心境，决定慢慢用母爱来浸染这个孩子，看着这个面黄肌瘦的女儿，从没烧过分的女人撸起袖子决定给女儿做饭，但自小用惯了天然气的女人并不会烧火，母女两人都被烟熏晕了以前...,"穿越,80年代,母爱,亲子关系",,,83,83.0
9,夫人出院，禁欲慕爷失控了,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649462750359554_new_1730815355941137.jpg, 《夫人出院，禁欲慕爷失控了》是一部国产剧，共87集。剧情讲述了沈听晚在被妹妹下药出卖后，意图毁她清白的故事。在经历了暴打渣男的事件后，沈听晚被沈家关入精神病院，而她的男友慕祈年却毫无作为，眼睁睁看着她受苦。出院后，沈听晚决定开始她的复仇，教训那些曾经伤害她的人。,"被妹出卖,渣男暴打,出院复仇",,,87,87.0
10,萌宝助攻，嫁给前男友小叔,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-08/768x1536_output_video_1853642749125521410_17310764709255857.jpg, 《萌宝助攻，嫁给前男友小叔》是一部2024年在中国大陆火爆的甜宠短剧，共96集。该剧以其紧凑的剧情和原著精髓的紧密跟随而受到观众的喜爱。 这部剧讲述了一个关于爱情、家庭和亲情的故事，通过萌宝的助攻，展现了主角们在面对前男友和家庭关系时的复杂情感和抉择。 它以其未删减版和高清全集的流畅观看体验，为观众提供了一个紧张刺激的观剧体验。,"萌宝助攻,甜宠短剧,现代爱情,家庭亲情",,,96,96.0
