"user_id","to_user_id","follow_status","is_mutual_follow_and_partner","view_home_page_cnt","join_party_cnt","message_chat_cnt","voice_chat_cnt","im_single_message_cnt","like_cnt","comment_cnt","reply_comment_cnt","dt"
"6040867447374954500","6040867447374954527","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","1,2024-07-16","0,2024-07-16","2024-07-21"
"6040867447374954512","6040867447374956938","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","1,2024-07-16","0,2024-07-16","2024-07-21"
"6040867447374954539","6040867447374954637","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","1,2024-07-16","0,2024-07-16","2024-07-21"
"6040867447374954543","6040867447374954538","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","1,2024-07-16","2024-07-21"
"6040867447374954548","6040867447374954637","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","1,2024-07-16","0,2024-07-16","2024-07-21"
"6040867447374954550","6040867447374957323","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","1,2024-07-16","0,2024-07-16","2024-07-21"
"6040867447374954570","6040867447374958298","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","2,2024-07-16","0,2024-07-16","2024-07-21"
"6040867447374954588","6040867447374956938","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","1,2024-07-16","0,2024-07-16","2024-07-21"
"6040867447374954604","6040867447374954513","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","1,2024-07-16","2024-07-21"
"6040867447374954660","6040867447374954833","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","3,2024-07-16","0,2024-07-16","2024-07-21"
"6040867447374954670","6040867447374955047","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","1,2024-07-16","0,2024-07-16","2024-07-21"
"6040867447374954684","6040867447374956964","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","3,2024-07-16","0,2024-07-16","2024-07-21"
"6040867447374954736","6040867447374954829","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","1,2024-07-16","0,2024-07-16","2024-07-21"
"6040867447374954740","6223829893180261281","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","2,2024-07-16","2,2024-07-16","0,2024-07-16","2024-07-21"
"6040867447374954746","6233022360145208082","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","1,2024-07-16","1,2024-07-16","0,2024-07-16","2024-07-21"
"6040867447374954762","6040867447374957232","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","1,2024-07-16","0,2024-07-16","2024-07-21"
"6040867447374954768","6040867447374955703","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","1,2024-07-16","0,2024-07-16","2024-07-21"
"6040867447374954792","6355028705853163718","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","4,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","2024-07-21"
"6040867447374954809","6040867447374957231","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","1,2024-07-16","0,2024-07-16","2024-07-21"
"6040867447374954820","6040867447374954819","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","1,2024-07-16","2024-07-21"
"6040867447374954853","6040867447374954865","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","1,2024-07-16","1,2024-07-16","0,2024-07-16","2024-07-21"
"6040867447374954895","8231131443667190241","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","0,2024-07-16","6,2024-07-16","0,2024-07-16","0,2024-07-16","2024-07-21"
